******Format of cpu stats log file: Date/Time     CPU Temp        Load Average    CPU Frequency   Governor***
Fri Apr 23 09:34:55 PDT 2010  21        0.00 0.05 0.04 2/166 18659        500000        userspace
Fri Apr 23 09:34:56 PDT 2010  21        0.00 0.05 0.04 2/166 18665        500000        userspace
Fri Apr 23 09:34:57 PDT 2010  21        0.00 0.05 0.04 2/166 18671        500000        userspace
Fri Apr 23 09:34:58 PDT 2010  21        0.00 0.05 0.04 2/166 18677        500000        userspace
Fri Apr 23 09:35:06 PDT 2010  21        0.00 0.05 0.04 2/166 18687        500000        userspace
Fri Apr 23 09:35:07 PDT 2010  21        0.00 0.05 0.04 2/166 18693        500000        userspace
Fri Apr 23 09:35:08 PDT 2010  21        0.00 0.05 0.04 2/166 18699        500000        userspace
Fri Apr 23 09:35:09 PDT 2010  21        0.00 0.05 0.04 2/166 18705        500000        userspace
Fri Apr 23 09:35:10 PDT 2010  21        0.00 0.05 0.04 2/166 18711        500000        userspace
Fri Apr 23 09:35:11 PDT 2010  21        0.00 0.05 0.04 3/166 18717        500000        userspace
Fri Apr 23 09:35:13 PDT 2010  21        0.00 0.05 0.04 2/166 18723        500000        userspace
Fri Apr 23 09:35:14 PDT 2010  21        0.00 0.05 0.04 2/166 18729        500000        userspace
Fri Apr 23 09:35:15 PDT 2010  21        0.00 0.05 0.04 2/166 18735        500000        userspace
Fri Apr 23 09:35:16 PDT 2010  21        0.00 0.05 0.04 2/166 18741        500000        userspace
Fri Apr 23 09:35:17 PDT 2010  22        0.00 0.05 0.04 3/166 18747        500000        userspace
Fri Apr 23 09:35:18 PDT 2010  21        0.16 0.08 0.05 2/166 18753        500000        userspace
Fri Apr 23 09:35:19 PDT 2010  21        0.16 0.08 0.05 2/166 18759        500000        userspace
Fri Apr 23 09:35:20 PDT 2010  21        0.16 0.08 0.05 2/166 18765        500000        userspace
Fri Apr 23 09:35:21 PDT 2010  21        0.16 0.08 0.05 2/166 18771        500000        userspace
Fri Apr 23 09:35:22 PDT 2010  21        0.16 0.08 0.05 1/166 18777        500000        userspace
Fri Apr 23 09:35:23 PDT 2010  21        0.15 0.08 0.05 2/166 18783        500000        userspace
