******Format of cpu stats log file: Date/Time     CPU Temp        Load Average    CPU Frequency   Governor***
Mon Apr 26 17:58:55 PDT 2010  24        0.13 0.11 0.09 1/168 10943        125000        conservative
Mon Apr 26 17:58:56 PDT 2010  24        0.36 0.16 0.10 1/168 10949        125000        conservative
Mon Apr 26 17:58:58 PDT 2010  24        0.36 0.16 0.10 3/168 10955        125000        conservative
Mon Apr 26 17:58:59 PDT 2010  24        0.36 0.16 0.10 2/168 10961        125000        conservative
Mon Apr 26 17:59:00 PDT 2010  24        0.57 0.20 0.12 2/168 10967        125000        conservative
Mon Apr 26 17:59:02 PDT 2010  24        0.57 0.20 0.12 2/168 10973        125000        conservative
Mon Apr 26 17:59:03 PDT 2010  24        0.57 0.20 0.12 2/168 10979        125000        conservative
Mon Apr 26 17:59:04 PDT 2010  24        0.57 0.20 0.12 3/168 10985        125000        conservative
Mon Apr 26 17:59:06 PDT 2010  24        0.57 0.20 0.12 2/169 10992        125000        conservative
Mon Apr 26 17:59:07 PDT 2010  24        0.68 0.23 0.13 3/169 10998        125000        conservative
Mon Apr 26 17:59:08 PDT 2010  24        0.68 0.23 0.13 3/170 11005        125000        conservative
Mon Apr 26 17:59:10 PDT 2010  24        0.68 0.23 0.13 6/171 11012        250000        conservative
Mon Apr 26 17:59:11 PDT 2010  24        1.35 0.38 0.17 5/172 11019        250000        conservative
Mon Apr 26 17:59:12 PDT 2010  24        1.35 0.38 0.17 6/172 11025        250000        conservative
Mon Apr 26 17:59:13 PDT 2010  24        1.35 0.38 0.17 6/172 11031        250000        conservative
Mon Apr 26 17:59:15 PDT 2010  24        1.35 0.38 0.17 5/172 11037        250000        conservative
Mon Apr 26 17:59:16 PDT 2010  24        1.56 0.44 0.19 6/172 11043        250000        conservative
Mon Apr 26 17:59:17 PDT 2010  24        1.56 0.44 0.19 6/172 11049        500000        conservative
Mon Apr 26 17:59:18 PDT 2010  24        1.56 0.44 0.19 7/173 11056        500000        conservative
Mon Apr 26 17:59:20 PDT 2010  24        1.56 0.44 0.19 8/174 11063        550000        conservative
Mon Apr 26 17:59:21 PDT 2010  24        1.56 0.44 0.19 9/174 11069        600000        conservative
Mon Apr 26 17:59:22 PDT 2010  24        2.08 0.56 0.24 11/176 11077        600000        conservative
Mon Apr 26 17:59:23 PDT 2010  24        2.08 0.56 0.24 10/176 11083        600000        conservative
Mon Apr 26 17:59:25 PDT 2010  24        2.08 0.56 0.24 11/177 11090        720000        conservative
Mon Apr 26 17:59:26 PDT 2010  24        2.79 0.74 0.29 11/177 11096        800000        conservative
Mon Apr 26 17:59:27 PDT 2010  24        2.79 0.74 0.29 11/177 11102        800000        conservative
Mon Apr 26 17:59:28 PDT 2010  24        2.79 0.74 0.29 12/178 11109        800000        conservative
Mon Apr 26 17:59:30 PDT 2010  24        2.79 0.74 0.29 12/178 11115        800000        conservative
Mon Apr 26 17:59:31 PDT 2010  24        3.53 0.92 0.36 13/178 11121        800000        conservative
Mon Apr 26 17:59:32 PDT 2010  24        3.53 0.92 0.36 13/178 11127        800000        conservative
Mon Apr 26 17:59:33 PDT 2010  24        3.53 0.92 0.36 12/178 11133        800000        conservative
Mon Apr 26 17:59:35 PDT 2010  24        3.53 0.92 0.36 12/178 11140        800000        conservative
Mon Apr 26 17:59:36 PDT 2010  24        4.13 1.09 0.41 12/178 11146        800000        conservative
Mon Apr 26 17:59:37 PDT 2010  24        4.13 1.09 0.41 13/178 11152        800000        conservative
Mon Apr 26 17:59:38 PDT 2010  24        4.13 1.09 0.41 12/178 11158        800000        conservative
Mon Apr 26 17:59:40 PDT 2010  24        4.13 1.09 0.41 12/178 11164        800000        conservative
Mon Apr 26 17:59:41 PDT 2010  24        4.60 1.24 0.46 12/178 11170        800000        conservative
Mon Apr 26 17:59:42 PDT 2010  24        4.60 1.24 0.46 12/178 11176        800000        conservative
Mon Apr 26 17:59:43 PDT 2010  37        4.60 1.24 0.46 13/178 11182        800000        conservative
Mon Apr 26 17:59:45 PDT 2010  37        4.60 1.24 0.46 12/178 11188        800000        conservative
Mon Apr 26 17:59:46 PDT 2010  37        5.11 1.40 0.52 12/178 11194        800000        conservative
Mon Apr 26 17:59:48 PDT 2010  37        5.11 1.40 0.52 12/178 11200        800000        conservative
Mon Apr 26 17:59:49 PDT 2010  37        5.11 1.40 0.52 12/178 11206        800000        conservative
Mon Apr 26 17:59:50 PDT 2010  37        5.11 1.40 0.52 12/178 11212        800000        conservative
Mon Apr 26 17:59:51 PDT 2010  37        5.50 1.54 0.57 12/178 11218        800000        conservative
Mon Apr 26 17:59:53 PDT 2010  37        5.50 1.54 0.57 12/178 11224        800000        conservative
Mon Apr 26 17:59:54 PDT 2010  37        5.50 1.54 0.57 12/178 11230        800000        conservative
Mon Apr 26 17:59:55 PDT 2010  37        5.50 1.54 0.57 13/178 11236        800000        conservative
Mon Apr 26 17:59:56 PDT 2010  37        5.86 1.68 0.62 12/178 11242        800000        conservative
Mon Apr 26 17:59:58 PDT 2010  37        5.86 1.68 0.62 12/178 11248        800000        conservative
Mon Apr 26 17:59:59 PDT 2010  37        5.86 1.68 0.62 12/178 11254        800000        conservative
Mon Apr 26 18:00:00 PDT 2010  37        5.86 1.68 0.62 12/178 11260        800000        conservative
Mon Apr 26 18:00:01 PDT 2010  37        6.27 1.84 0.68 12/178 11266        800000        conservative
Mon Apr 26 18:00:03 PDT 2010  37        6.27 1.84 0.68 12/178 11272        800000        conservative
Mon Apr 26 18:00:04 PDT 2010  37        6.27 1.84 0.68 13/178 11278        800000        conservative
Mon Apr 26 18:00:05 PDT 2010  37        6.27 1.84 0.68 12/178 11284        800000        conservative
Mon Apr 26 18:00:07 PDT 2010  37        6.57 1.97 0.73 12/178 11290        800000        conservative
Mon Apr 26 18:00:08 PDT 2010  37        6.57 1.97 0.73 12/178 11296        800000        conservative
Mon Apr 26 18:00:09 PDT 2010  37        6.57 1.97 0.73 13/178 11302        800000        conservative
Mon Apr 26 18:00:11 PDT 2010  37        6.57 1.97 0.73 12/178 11308        800000        conservative
Mon Apr 26 18:00:12 PDT 2010  37        7.00 2.14 0.79 12/178 11314        800000        conservative
Mon Apr 26 18:00:13 PDT 2010  37        7.00 2.14 0.79 13/178 11320        800000        conservative
Mon Apr 26 18:00:14 PDT 2010  37        7.00 2.14 0.79 13/178 11326        800000        conservative
Mon Apr 26 18:00:16 PDT 2010  37        7.00 2.14 0.79 12/178 11332        800000        conservative
Mon Apr 26 18:00:17 PDT 2010  37        7.48 2.32 0.85 12/178 11338        800000        conservative
