******Format of cpu stats log file: Date/Time     CPU Temp        Load Average    CPU Frequency   Governor***
Thu Apr 22 21:38:09 PDT 2010  21        0.00 0.07 0.15 4/166 11582        500000        userspace
Thu Apr 22 21:38:14 PDT 2010  21        0.00 0.07 0.15 1/166 11588        500000        userspace
Thu Apr 22 21:38:19 PDT 2010  21        0.00 0.07 0.15 4/166 11594        500000        userspace
Thu Apr 22 21:38:24 PDT 2010  21        0.00 0.07 0.14 3/169 11607        500000        userspace
Thu Apr 22 21:38:29 PDT 2010  21        0.00 0.07 0.14 3/169 11613        500000        userspace
Thu Apr 22 21:38:34 PDT 2010  21        0.00 0.07 0.14 4/170 11620        500000        userspace
Thu Apr 22 21:38:39 PDT 2010  21        0.08 0.08 0.15 3/170 11626        500000        userspace
Thu Apr 22 21:38:44 PDT 2010  21        0.23 0.11 0.16 5/167 11632        500000        userspace
Thu Apr 22 21:38:50 PDT 2010  21        0.29 0.13 0.16 4/167 11638        500000        userspace
Thu Apr 22 21:38:55 PDT 2010  21        0.43 0.16 0.17 5/168 11645        500000        userspace
Thu Apr 22 21:39:00 PDT 2010  21        0.64 0.21 0.19 6/169 11652        500000        userspace
Thu Apr 22 21:39:05 PDT 2010  21        0.91 0.27 0.21 7/170 11662        500000        userspace
Thu Apr 22 21:39:10 PDT 2010  21        1.15 0.33 0.23 8/171 11669        500000        userspace
Thu Apr 22 21:39:16 PDT 2010  21        1.70 0.46 0.27 8/172 11676        500000        userspace
Thu Apr 22 21:39:21 PDT 2010  21        2.04 0.55 0.30 8/172 11682        500000        userspace
Thu Apr 22 21:39:26 PDT 2010  21        2.36 0.64 0.33 9/173 11689        500000        userspace
Thu Apr 22 21:39:31 PDT 2010  21        3.05 0.81 0.39 10/174 11696        500000        userspace
Thu Apr 22 21:39:37 PDT 2010  21        4.27 1.15 0.50 10/174 11702        500000        userspace
Thu Apr 22 21:39:42 PDT 2010  21        4.65 1.28 0.54 10/174 11709        500000        userspace
Thu Apr 22 21:39:47 PDT 2010  21        4.92 1.39 0.58 11/174 11715        500000        userspace
Thu Apr 22 21:39:53 PDT 2010  21        5.25 1.51 0.63 10/174 11721        500000        userspace
Thu Apr 22 21:39:58 PDT 2010  21        5.47 1.62 0.67 10/174 11727        500000        userspace
Thu Apr 22 21:40:03 PDT 2010  21        5.67 1.73 0.71 10/174 11736        500000        userspace
Thu Apr 22 21:40:08 PDT 2010  21        5.94 1.85 0.75 10/174 11742        500000        userspace
Thu Apr 22 21:40:14 PDT 2010  21        6.18 1.97 0.80 10/174 11748        500000        userspace
Thu Apr 22 21:40:19 PDT 2010  21        6.33 2.07 0.84 10/174 11754        500000        userspace
Thu Apr 22 21:40:24 PDT 2010  21        6.46 2.16 0.87 10/174 11760        500000        userspace
Thu Apr 22 21:40:30 PDT 2010  21        6.58 2.26 0.91 10/174 11766        500000        userspace
Thu Apr 22 21:40:35 PDT 2010  21        6.70 2.36 0.95 10/174 11772        500000        userspace
Thu Apr 22 21:40:40 PDT 2010  21        6.80 2.45 0.99 10/174 11778        500000        userspace
Thu Apr 22 21:40:46 PDT 2010  21        6.90 2.54 1.02 10/174 11784        500000        userspace
Thu Apr 22 21:40:51 PDT 2010  21        6.98 2.63 1.06 10/174 11790        500000        userspace
Thu Apr 22 21:40:56 PDT 2010  21        7.07 2.72 1.10 11/174 11796        500000        userspace
Thu Apr 22 21:41:02 PDT 2010  21        7.38 2.86 1.15 10/174 11810        500000        userspace
Thu Apr 22 21:41:07 PDT 2010  21        7.94 3.13 1.26 10/174 11818        500000        userspace
Thu Apr 22 21:41:12 PDT 2010  21        8.02 3.22 1.30 10/174 11824        500000        userspace
Thu Apr 22 21:41:17 PDT 2010  21        8.02 3.30 1.33 11/174 11832        500000        userspace
Thu Apr 22 21:41:23 PDT 2010  21        8.02 3.38 1.37 10/174 11840        500000        userspace
Thu Apr 22 21:41:28 PDT 2010  21        8.02 3.46 1.40 11/174 11848        500000        userspace
Thu Apr 22 21:41:34 PDT 2010  21        8.18 3.56 1.45 10/174 11856        500000        userspace
Thu Apr 22 21:41:39 PDT 2010  21        8.16 3.64 1.49 10/174 11864        500000        userspace
Thu Apr 22 21:41:44 PDT 2010  21        8.15 3.71 1.52 10/174 11870        500000        userspace
Thu Apr 22 21:41:50 PDT 2010  21        8.14 3.78 1.55 10/174 11878        500000        userspace
Thu Apr 22 21:41:55 PDT 2010  21        8.20 3.87 1.59 11/174 11886        500000        userspace
Thu Apr 22 21:42:00 PDT 2010  21        8.19 3.94 1.63 10/174 11894        500000        userspace
Thu Apr 22 21:42:06 PDT 2010  21        8.17 4.00 1.66 10/174 11903        500000        userspace
Thu Apr 22 21:42:11 PDT 2010  21        8.16 4.07 1.70 11/174 11909        500000        userspace
Thu Apr 22 21:42:16 PDT 2010  21        8.15 4.13 1.73 10/174 11915        500000        userspace
