******Format of cpu stats log file: Date/Time     CPU Temp        Load Average    CPU Frequency   Governor***
Thu Apr 22 23:21:01 CDT 2010  44        0.22 0.48 0.72 7/218 6901        800000        userspace
Thu Apr 22 23:21:06 CDT 2010  44        0.29 0.49 0.72 3/218 6908        800000        userspace
Thu Apr 22 23:21:11 CDT 2010  44        0.42 0.51 0.72 4/218 6914        800000        userspace
Thu Apr 22 23:21:16 CDT 2010  44        0.47 0.52 0.73 4/218 6921        800000        userspace
Thu Apr 22 23:21:21 CDT 2010  45        0.51 0.53 0.73 5/218 6927        800000        userspace
Thu Apr 22 23:21:26 CDT 2010  44        0.71 0.57 0.74 3/219 6934        800000        userspace
Thu Apr 22 23:21:31 CDT 2010  44        0.73 0.57 0.74 4/219 6941        800000        userspace
Thu Apr 22 23:21:36 CDT 2010  44        0.75 0.58 0.74 2/219 6947        800000        userspace
Thu Apr 22 23:21:41 CDT 2010  44        0.85 0.60 0.75 4/218 6953        800000        userspace
Thu Apr 22 23:21:46 CDT 2010  44        0.87 0.61 0.75 1/218 6960        800000        userspace
Thu Apr 22 23:21:51 CDT 2010  44        1.12 0.67 0.77 2/218 6966        800000        userspace
Thu Apr 22 23:21:56 CDT 2010  44        1.11 0.67 0.77 3/218 6974        800000        userspace
Thu Apr 22 23:22:01 CDT 2010  44        1.10 0.68 0.77 2/218 6980        800000        userspace
Thu Apr 22 23:22:06 CDT 2010  44        1.09 0.68 0.77 2/218 6986        800000        userspace
Thu Apr 22 23:22:11 CDT 2010  44        1.08 0.69 0.77 3/218 6992        800000        userspace
Thu Apr 22 23:22:16 CDT 2010  44        1.32 0.74 0.79 2/218 6999        800000        userspace
Thu Apr 22 23:22:21 CDT 2010  44        1.21 0.73 0.78 3/218 7005        800000        userspace
Thu Apr 22 23:22:27 CDT 2010  44        1.27 0.75 0.79 4/218 7012        800000        userspace
Thu Apr 22 23:22:32 CDT 2010  44        1.17 0.74 0.78 2/218 7018        800000        userspace
Thu Apr 22 23:22:37 CDT 2010  44        1.08 0.72 0.78 3/218 7024        800000        userspace
Thu Apr 22 23:22:42 CDT 2010  44        1.23 0.76 0.79 3/218 7030        800000        userspace
Thu Apr 22 23:22:47 CDT 2010  44        1.13 0.75 0.79 4/218 7036        800000        userspace
Thu Apr 22 23:22:52 CDT 2010  44        1.04 0.74 0.78 3/219 7043        800000        userspace
Thu Apr 22 23:22:56 CDT 2010  45        0.96 0.72 0.78 3/220 7055        800000        userspace
Thu Apr 22 23:23:01 CDT 2010  45        0.88 0.71 0.77 5/220 7061        800000        userspace
Thu Apr 22 23:23:06 CDT 2010  45        0.81 0.70 0.77 1/220 7068        800000        userspace
Thu Apr 22 23:23:12 CDT 2010  45        0.82 0.70 0.77 1/220 7074        800000        userspace
Thu Apr 22 23:23:17 CDT 2010  45        0.84 0.71 0.77 6/220 7081        800000        userspace
Thu Apr 22 23:23:22 CDT 2010  48        0.85 0.71 0.77 3/220 7087        800000        userspace
Thu Apr 22 23:23:27 CDT 2010  48        0.86 0.72 0.77 5/220 7093        800000        userspace
Thu Apr 22 23:23:32 CDT 2010  48        0.95 0.74 0.78 6/220 7099        800000        userspace
Thu Apr 22 23:23:37 CDT 2010  48        0.96 0.74 0.78 4/220 7105        800000        userspace
Thu Apr 22 23:23:43 CDT 2010  48        1.20 0.80 0.80 4/220 7111        800000        userspace
Thu Apr 22 23:23:48 CDT 2010  48        1.18 0.80 0.80 4/220 7117        800000        userspace
Thu Apr 22 23:23:53 CDT 2010  48        1.17 0.80 0.80 3/220 7123        800000        userspace
Thu Apr 22 23:23:58 CDT 2010  48        1.24 0.82 0.81 2/220 7129        800000        userspace
Thu Apr 22 23:24:03 CDT 2010  48        1.46 0.87 0.82 3/220 7135        800000        userspace
Thu Apr 22 23:24:08 CDT 2010  49        1.50 0.89 0.83 2/220 7141        800000        userspace
Thu Apr 22 23:24:13 CDT 2010  49        1.54 0.91 0.83 4/220 7147        800000        userspace
